Entity,Code,Year,Cumulative deaths in intrastate conflicts,Cumulative deaths from one-sided violence,Cumulative deaths in non-state conflicts,Cumulative deaths in interstate conflicts
Afghanistan,AFG,2024,299513,12290,4338,1450
Africa,,2024,752228,1041866,131855,98675
Albania,ALB,2024,26,0,0,0
Algeria,DZA,2024,18839,1669,493,0
Americas,,2024,39956,25384,164007,942
Andorra,AND,2024,0,0,0,0
Angola,AGO,2024,30691,2413,0,0
Antigua and Barbuda,ATG,2024,0,0,0,0
Argentina,ARG,2024,0,86,0,0
Armenia,ARM,2024,430,0,2,0
Asia and Oceania,,2024,507098,52255,20735,4752
Australia,AUS,2024,1,1,0,0
Austria,AUT,2024,0,4,0,0
Azerbaijan,AZE,2024,13860,789,67,0
Bahamas,BHS,2024,0,0,0,0
Bahrain,BHR,2024,0,26,0,0
Bangladesh,BGD,2024,309,622,541,0
Barbados,BRB,2024,0,0,0,0
Belarus,BLR,2024,0,0,0,0
Belgium,BEL,2024,5,35,0,0
Belize,BLZ,2024,0,0,0,0
Benin,BEN,2024,135,25,0,0
Bhutan,BTN,2024,4,0,0,0
Bolivia,BOL,2024,0,0,54,0
Bosnia and Herzegovina,BIH,2024,49947,13709,1578,0
Botswana,BWA,2024,0,1,0,0
Brazil,BRA,2024,0,481,18666,0
Brunei,BRN,2024,0,0,0,0
Bulgaria,BGR,2024,0,0,0,0
Burkina Faso,BFA,2024,10845,5836,487,0
Burundi,BDI,2024,11105,34021,5553,0
Cambodia,KHM,2024,4272,687,0,10
Cameroon,CMR,2024,5622,2504,310,56
Canada,CAN,2024,0,0,51,0
Cape Verde,CPV,2024,0,0,0,0
Central African Republic,CAF,2024,3464,8067,3767,0
Chad,TCD,2024,8254,2317,896,0
Chile,CHL,2024,0,0,0,0
China,CHN,2024,44,2651,187,0
Colombia,COL,2024,24952,15230,3644,0
Comoros,COM,2024,85,0,40,0
Congo,COG,2024,14549,1721,696,0
Costa Rica,CRI,2024,0,0,0,0
Cote d'Ivoire,CIV,2024,954,1850,658,0
Croatia,HRV,2024,4329,165,307,0
Cuba,CUB,2024,0,0,0,0
Cyprus,CYP,2024,0,0,0,0
Czechia,CZE,2024,0,0,0,0
Czechoslovakia,OWID_CZS,2024,0,0,0,0
Democratic Republic of Congo,COD,2024,33910,84129,18036,0
Denmark,DNK,2024,0,0,0,0
Djibouti,DJI,2024,352,60,23,35
Dominica,DMA,2024,0,0,0,0
Dominican Republic,DOM,2024,0,0,0,0
East Timor,TLS,2024,146,1195,0,0
Ecuador,ECU,2024,64,29,1230,11
Egypt,EGY,2024,4603,1075,252,0
El Salvador,SLV,2024,5861,88,34,0
Equatorial Guinea,GNQ,2024,0,0,0,0
Eritrea,ERI,2024,42694,800,0,95934
Estonia,EST,2024,0,0,0,0
Eswatini,SWZ,2024,0,50,0,0
Ethiopia,ETH,2024,359648,13638,8394,2283
Europe,,2024,106363,20873,2711,242368
Fiji,FJI,2024,0,0,0,0
Finland,FIN,2024,0,0,0,0
France,FRA,2024,9,227,47,0
Gabon,GAB,2024,0,0,0,0
Gambia,GMB,2024,0,8,0,0
Georgia,GEO,2024,3234,127,151,0
Germany,DEU,2024,4,15,0,0
Ghana,GHA,2024,1,0,2423,0
Greece,GRC,2024,0,0,0,0
Greenland,GRL,2024,0,0,0,0
Grenada,GRD,2024,0,0,0,0
Guatemala,GTM,2024,424,2244,84,0
Guinea,GIN,2024,647,254,184,0
Guinea-Bissau,GNB,2024,706,0,0,0
Guyana,GUY,2024,0,29,0,0
Haiti,HTI,2024,608,1842,458,0
Honduras,HND,2024,0,28,250,0
Hungary,HUN,2024,0,0,0,0
Iceland,ISL,2024,0,0,0,0
India,IND,2024,39068,11803,5063,2029
Indonesia,IDN,2024,3669,1100,2772,0
Iran,IRN,2024,1512,687,0,181
Iraq,IRQ,2024,75180,19879,2805,29190
Ireland,IRL,2024,0,0,0,0
Israel,ISR,2024,1152,1198,0,0
Italy,ITA,2024,0,0,0,0
Jamaica,JAM,2024,0,0,116,0
Japan,JPN,2024,0,0,0,0
Jordan,JOR,2024,35,60,3,3
Kazakhstan,KAZ,2024,0,0,0,0
Kenya,KEN,2024,966,1137,3570,0
Kiribati,KIR,2024,0,0,0,0
Kosovo,OWID_KOS,2024,1740,984,0,0
Kuwait,KWT,2024,0,312,0,1504
Kyrgyzstan,KGZ,2024,177,0,215,94
Laos,LAO,2024,279,73,0,0
Latvia,LVA,2024,0,3,0,0
Lebanon,LBN,2024,8152,160,2349,0
Lesotho,LSO,2024,78,0,0,0
Liberia,LBR,2024,3048,17062,3012,0
Libya,LBY,2024,8848,300,4756,0
Liechtenstein,LIE,2024,0,0,0,0
Lithuania,LTU,2024,0,15,0,0
Luxembourg,LUX,2024,0,0,0,0
Madagascar,MDG,2024,0,31,161,0
Malawi,MWI,2024,0,0,0,0
Malaysia,MYS,2024,72,0,0,0
Maldives,MDV,2024,0,4,0,0
Mali,MLI,2024,8872,5297,3002,0
Malta,MLT,2024,0,0,0,0
Marshall Islands,MHL,2024,0,0,0,0
Mauritania,MRT,2024,30,51,102,0
Mauritius,MUS,2024,0,0,0,0
Mexico,MEX,2024,184,803,139171,0
Middle East,,2024,580111,42661,62501,32532
Moldova,MDA,2024,585,0,0,0
Monaco,MCO,2024,0,0,0,0
Mongolia,MNG,2024,0,0,0,0
Montenegro,MNE,2024,11,0,0,0
Morocco,MAR,2024,0,51,0,0
Mozambique,MOZ,2024,7341,4194,188,0
Myanmar,MMR,2024,19851,8546,2220,0
Namibia,NAM,2024,417,6,0,0
Nauru,NRU,2024,0,0,0,0
Nepal,NPL,2024,9915,2368,30,0
Netherlands,NLD,2024,2,0,0,0
New Zealand,NZL,2024,0,0,0,0
Nicaragua,NIC,2024,565,0,0,0
Niger,NER,2024,4406,2342,246,0
Nigeria,NGA,2024,27754,18051,26076,0
North Korea,PRK,2024,0,0,0,0
North Macedonia,MKD,2024,75,6,0,0
Norway,NOR,2024,0,0,0,0
Oman,OMN,2024,0,0,0,0
Pakistan,PAK,2024,37220,4350,3887,1037
Palau,PLW,2024,0,0,0,0
Palestine,PSE,2024,54274,303,299,1
Panama,PAN,2024,77,1,0,843
Papua New Guinea,PNG,2024,255,81,494,0
Paraguay,PRY,2024,150,0,1,0
Peru,PER,2024,6637,677,50,88
Philippines,PHL,2024,19591,898,173,1
Poland,POL,2024,0,0,0,2
Portugal,PRT,2024,0,0,0,0
Qatar,QAT,2024,0,0,0,0
Romania,ROU,2024,249,199,0,0
Russia,RUS,2024,21796,2835,244,7752
Rwanda,RWA,2024,7887,786020,92,0
Saint Kitts and Nevis,KNA,2024,0,0,0,0
Saint Lucia,LCA,2024,0,0,0,0
Saint Vincent and the Grenadines,VCT,2024,0,0,0,0
Samoa,WSM,2024,0,0,0,0
San Marino,SMR,2024,0,0,0,0
Sao Tome and Principe,STP,2024,0,0,0,0
Saudi Arabia,SAU,2024,399,96,0,96
Senegal,SEN,2024,1371,314,243,0
Serbia,SRB,2024,891,2,0,0
Seychelles,SYC,2024,0,0,0,0
Sierra Leone,SLE,2024,11470,8804,53,0
Singapore,SGP,2024,0,0,0,0
Slovakia,SVK,2024,0,0,0,0
Slovenia,SVN,2024,64,0,0,0
Solomon Islands,SLB,2024,2,0,0,0
Somalia,SOM,2024,49649,2569,11690,0
South Africa,ZAF,2024,0,629,4340,0
South Korea,KOR,2024,0,0,0,0
South Sudan,SSD,2024,34437,9878,18012,129
Spain,ESP,2024,45,207,2,0
Sri Lanka,LKA,2024,61204,3616,567,0
Sudan,SDN,2024,32576,19434,11776,238
Suriname,SUR,2024,0,0,0,0
Sweden,SWE,2024,0,5,0,0
Switzerland,CHE,2024,0,0,0,0
Syria,SYR,2024,341932,16948,52479,1439
Taiwan,TWN,2024,0,0,0,0
Tajikistan,TJK,2024,8856,100,408,112
Tanzania,TZA,2024,29,62,0,0
Thailand,THA,2024,2255,1897,11,19
Togo,TGO,2024,109,613,31,0
Tonga,TON,2024,0,0,0,0
Trinidad and Tobago,TTO,2024,39,0,0,0
Tunisia,TUN,2024,209,80,0,0
Turkey,TUR,2024,29884,1622,179,0
Turkmenistan,TKM,2024,0,0,0,0
Tuvalu,TUV,2024,0,0,0,0
Uganda,UGA,2024,10013,5016,1725,0
Ukraine,UKR,2024,8929,1460,45,234614
United Arab Emirates,ARE,2024,3,0,0,0
United Kingdom,GBR,2024,132,86,0,0
United States,USA,2024,233,2775,7,0
Uruguay,URY,2024,0,0,0,0
Uzbekistan,UZB,2024,395,0,97,0
Vanuatu,VUT,2024,0,0,0,0
Venezuela,VEN,2024,162,1067,191,0
Vietnam,VNM,2024,0,0,0,0
Western Sahara,ESH,2024,207,0,0,0
World,OWID_WRL,2024,1985756,1183039,381809,379269
Yemen,YEM,2024,62985,272,4135,118
Yemen People's Republic,OWID_YPR,2024,0,0,0,0
Yugoslavia,OWID_YGS,2024,0,0,0,0
Zambia,ZMB,2024,0,164,0,0
Zimbabwe,ZWE,2024,0,304,0,0